الشهر,اليوم,الفجر الأول,الفجر الثاني,الشروق,الظهر,العصر,المغرب,العشاء
آذار,2,5:6,5:21,6:37,12:22,3:38,6:2,7:22
آذار,3,5:4,5:19,6:35,12:22,3:39,6:3,7:23
آذار,4,5:2,5:17,6:34,12:22,3:39,6:4,7:24
آذار,5,5:00,5:15,6:33,12:21,3:40,6:5,7:25
آذار,6,4:59,5:14,6:32,12:21,3:40,6:6,7:26
آذار,7,4:57,5:12,6:31,12:21,3:42,6:7,7:27
آذار,8,4:56,5:11,6:30,12:21,3:42,6:8,7:28
آذار,9,4:54,5:9,6:29,12:20,3:42,6:9,7:29
آذار,10,4:52,5:7,6:28,12:20,3:43,6:10,7:30
آذار,11,4:51,5:6,6:26,12:20,3:43,6:11,7:31
آذار,12,4:49,5:4,6:25,12:20,3:44,6:12,7:32
آذار,13,4:48,5:3,6:22,12:19,3:45,6:13,7:33
آذار,14,4:47,5:2,6:21,12:19,3:45,6:14,7:34
آذار,15,4:46,5:1,6:20,12:19,3:46,6:15,7:35
آذار,16,4:45,5:00,6:19,12:19,3:46,6:16,7:36
آذار,17,4:43,4:58,6:17,12:18,3:47,6:17,7:37
آذار,18,4:42,4:57,6:16,12:18,3:47,6:18,7:38
آذار,19,4:41,4:56,6:15,12:17,3:47,6:19,7:39
آذار,20,4:40,4:55,6:14,12:17,3:48,6:20,7:40
آذار,21,4:39,4:54,6:12,12:17,3:49,6:21,7:41
آذار,22,4:38,4:53,6:11,12:17,3:49,6:22,7:42
آذار,23,4:37,4:52,6:10,12:16,3:49,6:23,7:43
آذار,24,4:36,4:51,6:8,12:16,3:49,6:24,7:44
آذار,25,4:34,4:49,6:6,12:16,3:51,6:25,7:45
آذار,26,4:33,4:48,6:4,12:15,3:51,6:26,7:46
آذار,27,4:32,4:47,6:3,12:15,3:51,6:27,7:47
آذار,28,4:30,4:45,6:2,12:15,3:51,6:28,7:48
آذار,29,4:29,4:44,6:00,12:14,3:51,6:28,7:48
آذار,30,4:28,4:43,5:59,12:14,3:51,6:29,7:49
آذار,31,4:27,4:42,5:57,12:14,3:51,6:30,7:50
نيسان,1,4:25,4:40,5:56,12:14,3:51,6:30,7:50
نيسان,2,4:24,4:39,5:55,12:13,3:52,6:31,7:51
نيسان,3,4:23,4:38,5:53,12:13,3:52,6:32,7:52
نيسان,4,4:21,4:36,5:53,12:13,3:52,6:33,7:53
نيسان,5,4:19,4:34,5:51,12:12,3:52,6:34,7:54
نيسان,6,4:17,4:32,5:50,12:12,3:52,6:35,7:55
نيسان,7,4:16,4:31,5:48,12:12,3:52,6:35,7:55
نيسان,8,4:15,4:30,5:47,12:11,3:52,6:36,7:56
نيسان,9,4:13,4:28,5:45,12:11,3:52,6:36,7:56
نيسان,10,4:12,4:27,5:44,12:11,3:52,6:38,7:58
نيسان,11,4:10,4:25,5:43,12:10,3:53,6:39,7:59
نيسان,12,4:8,4:23,5:41,12:10,3:53,6:40,8:00
نيسان,13,4:6,4:21,5:40,12:10,3:53,6:40,8:00
نيسان,14,4:5,4:20,5:38,12:10,3:53,6:40,8:00
نيسان,15,4:3,4:18,5:37,12:9,3:53,6:42,8:2
نيسان,16,4:2,4:17,5:36,12:9,3:53,6:43,8:3
نيسان,17,4:00,4:15,5:35,12:9,3:53,6:43,8:3
نيسان,18,3:59,4:14,5:33,12:9,3:53,6:44,8:4
نيسان,19,3:57,4:12,5:32,12:8,3:53,6:45,8:5
نيسان,20,3:55,4:10,5:30,12:8,3:53,6:46,8:6
نيسان,21,3:54,4:9,5:29,12:8,3:53,6:46,8:6
نيسان,22,3:53,4:8,5:28,12:8,3:53,6:47,8:7
نيسان,23,3:52,4:7,5:27,12:8,3:54,6:48,8:8
نيسان,24,3:50,4:5,5:26,12:7,3:54,6:49,8:9
نيسان,25,3:49,4:4,5:25,12:7,3:55,6:50,8:10
نيسان,26,3:48,4:3,5:24,12:7,3:55,6:51,8:11
نيسان,27,3:47,4:2,5:23,12:7,3:55,6:52,8:12
نيسان,28,3:46,4:1,5:21,12:7,3:55,6:53,8:13
نيسان,29,3:46,4:1,5:20,12:7,3:55,6:53,8:13
نيسان,30,3:45,4:00,5:20,12:6,3:55,6:54,8:14
أيار,1,3:44,3:59,5:19,12:6,3:55,6:55,8:15
أيار,2,3:43,3:58,5:18,12:6,3:55,6:56,8:16
أيار,3,3:42,3:57,5:17,12:6,3:55,6:57,8:17
أيار,4,3:41,3:56,5:16,12:6,3:55,6:57,8:17
أيار,5,3:40,3:55,5:15,12:6,3:55,6:58,8:18
أيار,6,3:39,3:54,5:13,12:6,3:55,6:59,8:19
أيار,7,3:37,3:52,5:11,12:6,3:55,7:00,8:20
أيار,8,3:36,3:51,5:10,12:6,3:55,7:00,8:20
أيار,9,3:34,3:49,5:9,12:6,3:55,7:1,8:21
أيار,10,3:33,3:48,5:8,12:6,3:55,7:2,8:22
أيار,11,3:32,3:47,5:7,12:6,3:55,7:3,8:23
أيار,12,3:31,3:46,5:6,12:6,3:55,7:3,8:23
أيار,13,3:30,3:45,5:5,12:6,3:55,7:4,8:24
أيار,14,3:29,3:44,5:4,12:6,3:55,7:5,8:25
أيار,15,3:28,3:43,5:4,12:6,3:56,7:6,8:26
أيار,16,3:27,3:42,5:3,12:6,3:57,7:7,8:27
أيار,17,3:26,3:41,5:3,12:6,3:57,7:8,8:28
أيار,18,3:25,3:40,5:2,12:6,3:57,7:8,8:28
أيار,19,3:24,3:39,5:1,12:6,3:57,7:8,8:28
أيار,20,3:23,3:38,5:1,12:6,3:57,7:10,8:30
أيار,21,3:22,3:37,5:00,12:6,3:57,7:11,8:31
أيار,22,3:21,3:36,5:00,12:6,3:57,7:12,8:32
أيار,23,3:20,3:35,5:00,12:6,3:58,7:12,8:32
أيار,24,3:19,3:34,5:00,12:6,3:58,7:13,8:33
أيار,25,3:18,3:33,4:59,12:7,3:58,7:14,8:34
أيار,26,3:17,3:32,4:59,12:7,3:58,7:14,8:34
أيار,27,3:16,3:31,4:58,12:7,3:58,7:15,8:35
أيار,28,3:15,3:30,4:58,12:7,3:58,7:16,8:36
أيار,29,3:14,3:29,4:57,12:7,3:59,7:17,8:37
أيار,30,3:13,3:28,4:57,12:7,3:59,7:18,8:38
أيار,31,3:12,3:27,4:56,12:7,3:59,7:19,8:39
حزيران,1,3:12,3:27,4:56,12:7,4:00,7:19,8:39
حزيران,2,3:11,3:26,4:55,12:8,4:00,7:20,8:40
حزيران,3,3:10,3:25,4:55,12:8,4:00,7:20,8:40
حزيران,4,3:9,3:24,4:55,12:8,4:00,7:21,8:41
حزيران,5,3:8,3:23,4:54,12:8,4:00,7:22,8:42
حزيران,6,3:7,3:22,4:54,12:8,4:1,7:22,8:42
حزيران,7,3:6,3:21,4:54,12:8,4:1,7:23,8:43
حزيران,8,3:5,3:20,4:54,12:9,4:1,7:23,8:43
حزيران,9,3:4,3:19,4:54,12:9,4:1,7:24,8:44
حزيران,10,3:3,3:18,4:54,12:9,4:2,7:24,8:44
حزيران,11,3:2,3:17,4:54,12:9,4:2,7:24,8:44
حزيران,12,3:2,3:17,4:54,12:9,4:2,7:25,8:45
حزيران,13,3:3,3:18,4:54,12:10,4:2,7:25,8:45
حزيران,14,3:4,3:19,4:54,12:10,4:2,7:26,8:46
حزيران,15,3:5,3:20,4:54,12:10,4:2,7:26,8:46
حزيران,16,3:7,3:22,4:54,12:10,4:3,7:26,8:46
حزيران,17,3:8,3:23,4:54,12:10,4:3,7:27,8:47
حزيران,18,3:9,3:24,4:54,12:11,4:3,7:27,8:47
حزيران,19,3:10,3:25,4:54,12:11,4:3,7:27,8:47
حزيران,20,3:11,3:26,4:55,12:11,4:4,7:28,8:48
حزيران,21,3:12,3:27,4:55,12:12,4:4,7:28,8:48
حزيران,22,3:13,3:28,4:55,12:12,4:4,7:28,8:48
حزيران,23,3:14,3:29,4:55,12:12,4:4,7:28,8:48
حزيران,24,3:14,3:29,4:55,12:12,4:4,7:28,8:48
حزيران,25,3:15,3:30,4:56,12:12,4:5,7:29,8:49
حزيران,26,3:15,3:30,4:57,12:12,4:5,7:29,8:49
حزيران,27,3:16,3:31,4:57,12:3,4:5,7:29,8:49
حزيران,28,3:17,3:32,4:57,12:13,4:5,7:29,8:49
حزيران,29,3:18,3:33,4:57,12:13,4:5,7:29,8:49
حزيران,30,3:18,3:33,4:57,12:13,4:5,7:29,8:49
تموز,1,3:18,3:33,4:58,12:13,4:6,7:29,8:49
تموز,2,3:19,3:34,4:58,12:13,4:6,7:29,8:49
تموز,3,3:19,3:34,4:59,12:14,4:6,7:29,8:49
تموز,4,3:20,3:35,4:59,12:14,4:6,7:29,8:49
تموز,5,3:21,3:36,4:59,12:14,4:6,7:28,8:48
تموز,6,3:22,3:37,5:00,12:14,4:6,7:28,8:48
تموز,7,3:23,3:38,5:00,12:14,4:6,7:27,8:47
تموز,8,3:24,3:39,5:00,12:14,4:6,7:27,8:47
تموز,9,3:25,3:40,5:1,12:15,4:6,7:27,8:47
تموز,10,3:26,3:41,5:2,12:15,4:6,7:26,8:46
تموز,11,3:27,3:42,5:3,12:15,4:6,7:26,8:46
تموز,12,3:27,3:42,5:4,12:15,4:6,7:26,8:46
تموز,13,3:28,3:43,5:4,12:15,4:6,7:25,8:45
تموز,14,3:29,3:44,5:5,12:15,4:6,7:25,8:45
تموز,15,3:29,3:44,5:6,12:15,4:6,7:25,8:45
تموز,16,3:30,3:45,5:6,12:15,4:6,7:24,8:44
تموز,17,3:30,3:45,5:7,12:15,4:6,7:24,8:44
تموز,18,3:31,3:46,5:7,12:15,4:6,7:23,8:43
تموز,19,3:32,3:47,5:8,12:15,4:5,7:23,8:43
تموز,20,3:32,3:47,5:9,12:16,4:5,7:22,8:42
تموز,21,3:33,3:48,5:10,12:16,4:5,7:22,8:42
تموز,22,3:33,3:48,5:11,12:16,4:5,7:21,8:41
تموز,23,3:34,3:49,5:12,12:16,4:5,7:20,8:40
تموز,24,3:35,3:50,5:12,12:16,4:5,7:18,8:38
تموز,25,3:35,3:50,5:13,12:16,4:5,7:17,8:37
تموز,26,3:36,3:51,5:14,12:16,4:5,7:16,8:36
تموز,27,3:36,3:51,5:14,12:16,4:5,7:16,8:36
تموز,28,3:37,3:52,5:15,12:16,4:4,7:15,8:35
تموز,29,3:37,3:52,5:15,12:16,4:4,7:14,8:34
تموز,30,3:38,3:53,5:16,12:16,4:4,7:13,8:33
تموز,31,3:38,3:53,5:16,12:16,4:4,7:13,8:33
آب,1,3:38,3:53,5:16,12:15,4:4,7:13,8:33
آب,2,3:39,3:54,5:17,12:15,4:4,7:12,8:32
آب,3,3:40,3:55,5:18,12:15,4:4,7:11,8:31
آب,4,3:41,3:56,5:18,12:15,4:4,7:10,8:30
آب,5,3:42,3:57,5:19,12:15,4:3,7:9,8:29
آب,6,3:43,3:58,5:20,12:15,4:3,7:7,8:27
آب,7,3:44,3:59,5:21,12:15,4:3,7:7,8:27
آب,8,3:45,4:00,5:22,12:15,4:3,7:6,8:26
آب,9,3:46,4:1,5:23,12:15,4:2,7:5,8:25
آب,10,3:47,4:2,5:24,12:15,4:2,7:4,8:24
آب,11,3:48,4:3,5:25,12:15,4:1,7:2,8:23
آب,12,3:49,4:4,5:25,12:14,4:1,7:1,8:21
آب,13,3:49,4:4,5:26,12:14,4:00,7:00,8:20
آب,14,3:50,4:5,5:27,12:14,4:00,6:59,8:19
آب,15,3:51,4:6,5:28,12:14,4:00,6:58,8:18
آب,16,3:51,4:6,5:29,12:14,3:59,6:57,8:17
آب,17,3:52,4:7,5:30,12:14,3:59,6:56,8:16
آب,18,3:53,4:7,5:30,12:13,3:59,6:55,8:5
آب,19,3:53,4:8,5:31,12:13,3:57,6:53,8:13
آب,20,3:54,4:9,5:32,12:13,3:56,6:52,8:12
آب,21,3:55,4:10,5:33,12:13,3:55,6:49,8:9
آب,22,3:56,4:11,5:34,12:13,3:54,6:48,8:8
آب,23,3:56,4:11,5:35,12:12,3:54,6:47,8:7
آب,24,3:57,4:12,5:35,12:12,3:54,6:46,8:6
آب,25,3:58,4:13,5:36,12:12,3:53,6:45,8:5
آب,26,3:59,4:14,5:37,12:12,3:52,6:43,8:3
آب,27,3:59,4:14,5:38,12:11,3:51,6:41,8:1
آب,28,4:00,4:15,5:38,12:11,3:51,6:40,8:00
آب,29,4:1,4:16,5:39,12:11,3:50,6:39,7:59
آب,30,4:2,4:17,5:39,12:11,3:50,6:37,7:57
آب,31,4:3,4:18,5:40,12:10,3:49,6:36,7:56
أيلول,1,4:4,4:19,5:41,12:10,3:48,6:35,7:55
أيلول,2,4:4,4:19,5:42,12:10,3:48,6:34,7:54
أيلول,3,4:5,4:20,5:43,12:9,3:47,6:32,7:52
أيلول,4,4:6,4:21,5:43,12:9,3:46,6:31,7:51
أيلول,5,4:7,4:22,5:44,12:9,3:46,6:30,7:50
أيلول,6,4:8,4:23,5:45,12:8,3:45,6:28,7:48
أيلول,7,4:9,4:24,5:46,12:8,3:44,6:27,7:47
أيلول,8,4:10,4:25,5:47,12:8,3:44,6:26,7:46
أيلول,9,4:11,4:26,5:47,12:7,3:43,6:24,7:44
أيلول,10,4:11,4:26,5:48,12:7,3:42,6:23,7:43
أيلول,11,4:12,4:27,5:49,12:7,3:40,6:21,7:41
أيلول,12,4:13,4:28,5:50,12:6,3:39,6:19,7:39
أيلول,13,4:14,4:29,5:50,12:6,3:39,6:18,7:38
أيلول,14,4:14,4:29,5:51,12:5,3:38,6:17,7:37
أيلول,15,4:15,4:30,5:52,12:5,3:37,6:15,7:35
أيلول,16,4:16,4:30,5:53,12:5,3:37,6:14,7:34
أيلول,17,4:17,4:31,5:54,12:4,3:35,6:12,7:32
أيلول,18,4:18,4:32,5:55,12:4,3:34,6:11,7:31
أيلول,19,4:19,4:33,5:55,12:3,3:33,6:10,7:30
أيلول,20,4:20,4:34,5:56,12:3,3:31,6:7,7:27
أيلول,21,4:21,4:35,5:56,12:3,3:30,6:6,7:26
أيلول,22,4:22,4:36,5:57,12:2,3:29,6:2,7:22
أيلول,23,4:23,4:37,5:58,12:2,3:28,6:1,7:21
أيلول,24,4:24,4:38,5:59,12:2,3:27,6:00,7:20
أيلول,25,4:25,4:39,6:00,12:1,3:27,5:59,7:19
أيلول,26,4:26,4:40,6:1,12:1,3:26,5:58,7:18
أيلول,27,4:27,4:41,6:1,12:1,3:25,5:57,7:17
أيلول,28,4:27,4:42,6:2,12:00,3:24,5:55,7:15
أيلول,29,4:28,4:43,6:2,12:00,3:24,5:54,7:14
أيلول,30,4:29,4:44,6:2,12:00,3:23,5:54,7:14
تشرين الأول,1,4:28,4:43,6:4,11:59,3:22,5:53,7:13
تشرين الأول,2,4:29,4:44,6:5,11:59,3:21,5:51,7:11
تشرين الأول,3,4:30,4:45,6:5,11:59,3:20,5:50,7:10
تشرين الأول,4,4:31,4:46,6:6,11:58,3:19,5:49,7:9
تشرين الأول,5,4:32,4:47,6:7,11:58,3:18,5:47,7:7
تشرين الأول,6,4:33,4:48,6:7,11:58,3:17,5:46,7:6
تشرين الأول,7,4:34,4:49,6:7,11:57,3:16,5:45,7:5
تشرين الأول,8,4:34,4:49,6:8,11:57,3:15,5:43,7:3
تشرين الأول,9,4:35,4:50,6:8,11:57,3:14,5:42,7:2
تشرين الأول,10,4:35,4:50,6:9,11:56,3:13,5:40,7:00
تشرين الأول,11,4:36,4:51,6:10,11:56,3:13,5:40,7:00
تشرين الأول,12,4:37,4:52,6:11,11:56,3:12,5:38,6:58
تشرين الأول,13,4:38,4:53,6:12,11:56,3:11,5:37,6:57
تشرين الأول,14,4:39,4:54,6:13,11:55,3:10,5:36,6:56
تشرين الأول,15,4:40,4:55,6:14,11:55,3:9,5:35,6:55
تشرين الأول,16,4:41,4:56,6:15,11:55,3:8,5:34,6:54
تشرين الأول,17,4:42,4:57,6:15,11:55,3:7,5:32,6:53
تشرين الأول,18,4:43,4:58,6:16,11:54,3:6,5:31,6:51
تشرين الأول,19,4:44,4:59,6:17,11:54,3:5,5:30,6:50
تشرين الأول,20,4:45,5:00,6:17,11:54,3:4,5:29,6:49
تشرين الأول,21,4:46,5:1,6:18,11:54,3:4,5:28,6:48
تشرين الأول,22,4:47,5:2,6:19,11:54,3:3,5:27,6:47
تشرين الأول,23,4:48,5:3,6:20,11:54,3:2,5:26,6:46
تشرين الأول,24,4:49,5:4,6:21,11:53,3:1,5:25,6:45
تشرين الأول,25,4:50,5:5,6:22,11:53,3:00,5:23,6:43
تشرين الأول,26,4:51,5:6,6:23,11:53,2:59,5:22,6:42
تشرين الأول,27,4:52,5:7,6:24,11:53,2:58,5:20,6:40
تشرين الأول,28,4:53,5:8,6:24,11:53,2:57,5:19,6:39
تشرين الأول,29,4:54,5:9,6:25,11:53,2:56,5:18,6:38
تشرين الأول,30,4:55,5:10,6:25,11:53,2:54,5:18,6:38
تشرين الأول,31,4:56,5:11,6:26,11:53,2:54,5:17,6:37
تشرين الثاني,1,4:56,5:11,6:27,11:53,2:53,5:16,6:36
تشرين الثاني,2,4:57,5:12,6:28,11:53,2:52,5:15,6:35
تشرين الثاني,3,4:58,5:12,6:29,11:53,2:52,5:14,6:34
تشرين الثاني,4,4:58,5:13,6:30,11:53,2:51,5:12,6:32
تشرين الثاني,5,5:00,5:14,6:31,11:53,2:50,5:11,6:31
تشرين الثاني,6,5:1,5:15,6:31,11:53,2:50,5:10,6:30
تشرين الثاني,7,5:1,5:16,6:32,11:53,2:49,5:10,6:30
تشرين الثاني,8,5:2,5:17,6:33,11:53,2:49,5:9,6:29
تشرين الثاني,9,5:2,5:17,6:34,11:53,2:48,5:8,6:28
تشرين الثاني,10,5:3,5:18,6:34,11:53,2:47,5:7,6:27
تشرين الثاني,11,5:4,5:19,6:35,11:53,2:46,5:6,6:26
تشرين الثاني,12,5:5,5:20,6:37,11:53,2:45,5:5,6:25
تشرين الثاني,13,5:6,5:21,6:39,11:54,2:44,5:4,6:24
تشرين الثاني,14,5:7,5:22,6:40,11:54,2:44,5:3,6:23
تشرين الثاني,15,5:8,5:23,6:40,11:54,2:44,5:3,6:23
تشرين الثاني,16,5:9,5:24,6:41,11:54,2:43,5:2,6:22
تشرين الثاني,17,5:10,5:25,6:42,11:54,2:43,5:2,6:22
تشرين الثاني,18,5:10,5:25,6:43,11:54,2:43,5:2,6:22
تشرين الثاني,19,5:11,5:26,6:44,11:55,2:43,5:1,6:21
تشرين الثاني,20,5:11,5:26,6:45,11:55,2:41,5:00,6:20
تشرين الثاني,21,5:12,5:27,6:46,11:55,2:41,4:59,6:19
تشرين الثاني,22,5:13,5:28,6:47,11:55,2:40,4:59,6:19
تشرين الثاني,23,5:14,5:29,6:48,11:56,2:40,4:59,6:19
تشرين الثاني,24,5:15,5:30,6:49,11:56,2:40,4:58,6:18
تشرين الثاني,25,5:16,5:31,6:50,11:56,2:40,4:58,6:18
تشرين الثاني,26,5:17,5:32,6:51,11:57,2:39,4:57,6:17
تشرين الثاني,27,5:18,5:33,6:52,11:57,2:39,4:57,6:17
تشرين الثاني,28,5:19,5:34,6:53,11:58,2:39,4:56,6:16
تشرين الثاني,29,5:20,5:35,6:54,11:58,2:39,4:56,6:16
تشرين الثاني,30,5:21,5:36,6:55,11:58,2:39,4:56,6:16
كانون الأول,1,5:21,5:36,6:56,11:59,2:39,4:56,6:16
كانون الأول,2,5:22,5:37,6:56,11:59,2:39,4:56,6:16
كانون الأول,3,5:23,5:38,6:57,11:59,2:39,4:56,6:16
كانون الأول,4,5:23,5:38,6:58,12:00,2:39,4:56,6:16
كانون الأول,5,5:24,5:39,6:59,12:00,2:39,4:56,6:16
كانون الأول,6,5:25,5:39,7:00,12:1,2:39,4:56,6:16
كانون الأول,7,5:25,5:40,7:1,12:1,2:39,4:56,6:16
كانون الأول,8,5:26,5:41,7:1,12:2,2:39,4:56,6:16
كانون الأول,9,5:27,5:42,7:2,12:2,2:39,4:57,6:17
كانون الأول,10,5:27,5:42,7:3,12:2,2:40,4:57,6:17
كانون الأول,11,5:28,5:43,7:4,12:3,2:40,4:57,6:17
كانون الأول,12,5:29,5:44,7:4,12:3,2:40,4:57,6:17
كانون الأول,13,5:30,5:45,7:5,12:4,2:40,4:57,6:17
كانون الأول,14,5:31,5:46,7:6,12:4,2:41,4:57,6:18
كانون الأول,15,5:32,5:47,7:6,12:5,2:41,4:58,6:18
كانون الأول,16,5:32,5:47,7:7,12:5,2:42,4:58,6:18
كانون الأول,17,5:33,5:48,7:7,12:6,2:42,4:59,6:19
كانون الأول,18,5:34,5:49,7:8,12:6,2:42,4:59,6:19
كانون الأول,19,5:34,5:49,7:9,12:7,2:43,4:59,6:19
كانون الأول,20,5:35,5:50,7:9,12:7,2:44,5:00,6:20
كانون الأول,21,5:36,5:51,7:10,12:8,2:44,5:1,6:21
كانون الأول,22,5:37,5:52,7:10,12:8,2:44,5:1,6:21
كانون الأول,23,5:37,5:52,7:11,12:9,2:45,5:2,6:22
كانون الأول,24,5:38,5:53,7:11,12:9,2:45,5:2,6:22
كانون الأول,25,5:39,5:54,7:12,12:10,2:46,5:3,6:23
كانون الأول,26,5:40,5:55,7:13,12:10,2:46,5:4,6:24
كانون الأول,27,5:41,5:56,7:13,12:11,2:47,5:4,6:24
كانون الأول,28,5:42,5:57,7:13,12:11,2:48,5:5,6:25
كانون الأول,29,5:42,5:57,7:14,12:12,2:48,5:6,6:26
كانون الأول,30,5:43,5:58,7:14,12:12,2:49,5:6,6:26
كانون الأول,31,5:43,5:58,7:14,12:12,2:49,5:6,6:26
